record_id,company_name,industry,country,company_size,month,year,layoffs_count,layoff_percentage,reason_for_layoffs,ai_replacement_risk,remote_jobs_percentage,top_hiring_role,salary_budget_change,ai_adoption_level,job_security_score,market_condition
T0,Microsoft,AI,Singapore,Enterprise,Mar,2026,860,1.8,AI Automation,5.0,46.7,ML Engineer,4.9,4.4,8.6,Bull Market
T1,Palantir,AI,Canada,Big Tech,Feb,2024,955,1.8,Cost Cutting,1.1,58.9,ML Engineer,1.5,1.0,7.2,Bull Market
T2,Anthropic,Cybersecurity,USA,Mid-size,Apr,2025,18912,9.5,Overhiring Correction,3.9,85.4,Frontend Developer,-14.9,5.6,5.9,Recession
T3,Spotify,Gaming,USA,Mid-size,Jun,2025,18159,9.1,Cost Cutting,7.4,44.0,Frontend Developer,-1.6,6.5,4.7,Recession
T4,Uber,Gaming,UK,Startup,Feb,2025,815,3.3,Market Slowdown,10.0,53.2,Frontend Developer,9.8,9.3,5.8,Bull Market
T5,Databricks,FinTech,USA,Big Tech,Jul,2024,3568,32.7,Overhiring Correction,8.4,66.9,Data Scientist,15.2,1.1,5.4,Recession
T6,Adobe,Gaming,Singapore,Enterprise,Dec,2024,3454,29.4,AI Automation,10.0,47.8,Product Manager,10.8,5.0,4.2,Recession
T7,Airbnb,Gaming,UK,Startup,Jul,2025,1038,1.1,Restructuring,5.8,55.1,Data Scientist,13.9,5.7,8.4,Bull Market
T8,Intel,Cloud,UK,Enterprise,Dec,2026,1819,9.3,AI Automation,10.0,27.5,Cloud Engineer,-6.1,6.4,6.0,Bull Market
T9,Databricks,Social Media,India,Mid-size,Jul,2025,1306,4.3,Overhiring Correction,3.5,52.7,DevOps Engineer,-5.5,3.4,6.2,Bull Market
T10,Airbnb,Social Media,UK,Startup,Jun,2025,1136,0.6,Market Slowdown,5.4,32.8,Software Engineer,0.9,6.0,8.2,Bull Market
T11,Amazon,Cloud,Canada,Enterprise,Jul,2026,1153,5.3,Restructuring,4.8,70.9,DevOps Engineer,5.2,3.2,6.8,Bull Market
T12,Apple,FinTech,India,Mid-size,Dec,2026,10339,24.3,Restructuring,6.6,66.9,Cloud Engineer,-4.3,1.8,3.8,Recession
T13,Stripe,E-Commerce,UK,Mid-size,Feb,2024,1802,3.4,AI Automation,10.0,28.3,DevOps Engineer,6.0,8.5,7.2,Bull Market
T14,Apple,Social Media,India,Big Tech,Jul,2025,8158,18.8,Overhiring Correction,10.0,42.4,Data Scientist,24.9,6.0,5.9,Recession
T15,SAP,Cybersecurity,UK,Startup,Nov,2026,6592,29.2,Market Slowdown,8.9,45.9,Data Scientist,-16.1,4.4,2.3,Recession
T16,Salesforce,AI,UK,Big Tech,Jan,2026,1218,6.6,Market Slowdown,5.4,30.0,Data Scientist,16.6,7.7,6.5,Bull Market
T17,Anthropic,Gaming,India,Startup,Nov,2026,8022,23.8,Overhiring Correction,10.0,71.5,Cloud Engineer,-2.2,6.8,4.6,Recession
T18,Uber,Cloud,UK,Mid-size,Oct,2025,4420,21.7,Restructuring,10.0,34.5,Software Engineer,2.2,9.6,5.0,Recession
T19,Google,AI,UK,Enterprise,Apr,2026,625,6.2,AI Automation,7.3,35.8,ML Engineer,18.0,9.4,6.8,Bull Market
T20,Amazon,Social Media,Germany,Startup,Mar,2026,11647,37.2,Restructuring,10.0,15.7,ML Engineer,1.2,3.3,3.7,Recession
T21,Palantir,Cloud,UK,Big Tech,Dec,2025,50,4.7,Restructuring,6.8,13.1,Product Manager,9.8,7.0,7.2,Bull Market
T22,Intel,E-Commerce,Canada,Big Tech,Apr,2024,773,0.5,Market Slowdown,6.0,87.6,Product Manager,4.6,5.1,6.5,Bull Market
T23,Google,Cybersecurity,Canada,Mid-size,Jan,2024,6949,34.8,AI Automation,8.1,45.4,Product Manager,-4.2,2.7,2.6,Recession
T24,Airbnb,AI,USA,Enterprise,May,2026,580,6.1,Restructuring,5.8,11.2,ML Engineer,0.1,6.9,5.5,Bull Market
T25,Uber,Cybersecurity,India,Big Tech,Jul,2024,2479,8.1,AI Automation,4.1,30.9,DevOps Engineer,6.3,1.9,7.1,Bull Market
T26,Microsoft,Social Media,Germany,Enterprise,Aug,2026,6501,1.5,AI Automation,10.0,61.5,Frontend Developer,24.0,9.5,8.3,Stable
T27,Microsoft,AI,Germany,Enterprise,Apr,2024,2444,2.1,Overhiring Correction,2.4,40.8,ML Engineer,-0.4,2.8,6.9,Bull Market
T28,SAP,Cloud,Germany,Mid-size,Apr,2024,828,14.7,Restructuring,10.0,89.2,DevOps Engineer,13.5,9.4,6.5,Stable
T29,Palantir,AI,USA,Startup,Mar,2025,1548,7.4,Restructuring,5.9,76.1,ML Engineer,-6.3,4.9,5.5,Bull Market
T30,OpenAI,Cloud,Germany,Startup,Jan,2025,717,6.8,Market Slowdown,3.6,33.5,Frontend Developer,21.3,3.9,7.0,Bull Market
T31,SAP,FinTech,Germany,Big Tech,May,2024,2445,5.5,AI Automation,8.0,21.4,Product Manager,-13.8,5.4,4.5,Bull Market
T32,Stripe,Social Media,Canada,Startup,Jan,2024,18924,24.4,Overhiring Correction,10.0,75.0,Cybersecurity Analyst,10.0,8.4,5.3,Recession
T33,OpenAI,Cybersecurity,Canada,Mid-size,Mar,2024,90,2.5,Overhiring Correction,5.1,47.5,Data Scientist,-0.8,6.0,6.4,Bull Market
T34,Amazon,Social Media,India,Big Tech,Oct,2026,1214,4.8,AI Automation,10.0,11.0,Product Manager,24.2,9.7,6.2,Bull Market
T35,Databricks,AI,Germany,Enterprise,Nov,2026,5751,2.3,Market Slowdown,3.9,60.2,ML Engineer,-10.5,6.0,7.1,Stable
T36,Airbnb,FinTech,Germany,Mid-size,Aug,2025,1667,18.7,AI Automation,9.1,56.7,Cloud Engineer,24.4,5.1,5.7,Recession
T37,Google,E-Commerce,Canada,Startup,Sep,2025,924,1.3,Cost Cutting,10.0,59.1,Product Manager,14.1,8.3,7.1,Bull Market
T38,Intel,AI,India,Enterprise,Aug,2026,323,17.7,Market Slowdown,10.0,77.4,ML Engineer,-1.6,8.3,5.3,Stable
T39,Databricks,Gaming,Singapore,Startup,Nov,2024,10860,39.9,Cost Cutting,10.0,40.2,Cloud Engineer,-13.8,8.3,2.7,Recession
T40,Spotify,AI,USA,Mid-size,Oct,2024,2181,7.1,Market Slowdown,10.0,51.6,Data Scientist,18.4,7.8,5.2,Stable
T41,Uber,Social Media,Singapore,Enterprise,May,2024,12470,33.1,AI Automation,9.9,11.2,DevOps Engineer,-7.2,1.3,2.7,Recession
T42,Oracle,Gaming,UK,Startup,Mar,2026,1358,4.0,Market Slowdown,10.0,84.1,Cybersecurity Analyst,16.8,5.6,5.7,Bull Market
T43,Netflix,Social Media,Germany,Big Tech,Feb,2024,13015,18.9,Cost Cutting,10.0,65.8,Software Engineer,9.2,6.7,5.4,Recession
T44,Palantir,AI,UK,Mid-size,Jan,2025,3222,1.7,Market Slowdown,4.0,19.7,ML Engineer,5.2,6.4,6.3,Stable
T45,Meta,FinTech,India,Mid-size,Jun,2026,6240,30.0,Restructuring,10.0,32.2,Data Scientist,-14.4,8.2,2.7,Recession
T46,Databricks,Social Media,India,Mid-size,Jul,2024,2125,4.6,Cost Cutting,3.5,65.0,ML Engineer,0.3,6.6,6.0,Bull Market
T47,Salesforce,Gaming,Germany,Mid-size,Dec,2024,5850,7.4,Restructuring,1.9,19.6,ML Engineer,17.6,1.9,7.0,Stable
T48,Meta,Gaming,Germany,Mid-size,Jun,2025,2081,5.6,Cost Cutting,6.8,39.0,DevOps Engineer,13.1,5.8,5.7,Bull Market
T49,Airbnb,AI,Singapore,Mid-size,May,2024,1833,7.2,Market Slowdown,2.4,81.7,Data Scientist,12.4,1.9,6.9,Stable
T50,Intel,Social Media,Canada,Big Tech,Jan,2024,9837,39.2,Market Slowdown,10.0,54.5,Cybersecurity Analyst,3.0,9.7,3.1,Recession
T51,Netflix,Cybersecurity,UK,Startup,Jun,2026,112,5.3,Market Slowdown,6.5,22.3,Frontend Developer,-10.3,5.6,4.7,Bull Market
T52,Oracle,Cybersecurity,Canada,Startup,May,2024,2160,12.6,Restructuring,6.9,57.7,Product Manager,11.6,9.9,6.4,Stable
T53,Google,Cybersecurity,Canada,Mid-size,Feb,2026,475,17.8,Market Slowdown,7.1,56.0,Frontend Developer,6.8,2.1,5.4,Stable
T54,Databricks,FinTech,Singapore,Startup,Sep,2025,1077,24.7,Restructuring,10.0,46.2,Cloud Engineer,8.7,8.3,4.5,Recession
T55,Salesforce,E-Commerce,Singapore,Enterprise,Apr,2025,12246,20.3,Restructuring,10.0,85.2,ML Engineer,-3.4,4.2,3.6,Recession
T56,Netflix,Cybersecurity,Canada,Enterprise,May,2025,519,18.0,Cost Cutting,10.0,12.7,Software Engineer,15.7,9.0,4.9,Stable
T57,Oracle,Gaming,Canada,Enterprise,Aug,2026,6459,11.3,Cost Cutting,10.0,67.8,DevOps Engineer,15.4,8.6,5.6,Stable
T58,Anthropic,E-Commerce,Singapore,Mid-size,May,2026,15153,19.0,Overhiring Correction,5.4,22.3,Data Scientist,-3.2,2.6,6.7,Recession
T59,Salesforce,AI,India,Enterprise,Mar,2024,1347,7.9,AI Automation,9.7,43.9,ML Engineer,21.2,6.1,7.9,Bull Market
T60,Airbnb,E-Commerce,Canada,Startup,Nov,2026,1305,15.2,Cost Cutting,8.9,40.3,Frontend Developer,18.6,8.6,5.8,Stable
T61,NVIDIA,E-Commerce,Germany,Mid-size,Feb,2025,385,4.7,Cost Cutting,10.0,46.2,Software Engineer,8.3,8.8,5.8,Bull Market
T62,Netflix,Gaming,Singapore,Big Tech,Feb,2025,661,2.2,Cost Cutting,8.6,21.9,Product Manager,26.4,6.2,7.0,Bull Market
T63,SAP,Social Media,Canada,Enterprise,Sep,2025,1051,16.3,Cost Cutting,6.7,76.9,Frontend Developer,13.8,7.7,6.1,Stable
T64,OpenAI,E-Commerce,UK,Mid-size,Sep,2025,13342,38.3,Cost Cutting,10.0,74.1,Cloud Engineer,8.9,5.5,3.1,Recession
T65,Spotify,E-Commerce,USA,Enterprise,Jun,2025,1790,0.2,Overhiring Correction,2.4,29.1,Cloud Engineer,23.0,2.8,8.4,Bull Market
T66,Amazon,Cloud,India,Mid-size,Dec,2024,6712,7.9,AI Automation,6.2,77.9,ML Engineer,17.0,7.0,7.1,Stable
T67,Oracle,E-Commerce,UK,Big Tech,Apr,2025,1509,7.2,Restructuring,6.1,54.2,Software Engineer,27.4,4.0,8.5,Stable
T68,Stripe,Social Media,USA,Big Tech,Jun,2025,4323,4.1,Restructuring,7.3,60.7,Software Engineer,29.6,5.4,6.9,Stable
T69,Oracle,Cybersecurity,Singapore,Mid-size,May,2025,174,15.0,Restructuring,7.6,54.3,Product Manager,-15.5,3.5,5.6,Stable
T70,Google,E-Commerce,UK,Big Tech,Aug,2024,5263,16.0,Overhiring Correction,10.0,43.5,ML Engineer,-15.4,8.9,2.9,Recession
T71,Palantir,AI,Germany,Startup,Mar,2025,793,0.7,Cost Cutting,7.8,33.8,Data Scientist,24.3,6.4,6.7,Bull Market
T72,Meta,FinTech,Germany,Enterprise,Jun,2025,1762,8.4,Restructuring,2.2,47.9,DevOps Engineer,6.3,1.3,6.9,Bull Market
T73,Spotify,Gaming,Germany,Enterprise,Jan,2026,1252,0.0,Overhiring Correction,1.0,17.3,DevOps Engineer,22.1,1.7,9.6,Bull Market
T74,Meta,FinTech,India,Startup,Jan,2024,6895,28.4,Cost Cutting,10.0,30.0,Software Engineer,28.4,8.9,5.3,Recession
T75,Google,Cybersecurity,India,Mid-size,Nov,2024,1817,5.7,Overhiring Correction,6.9,25.4,DevOps Engineer,24.9,9.3,7.2,Bull Market
T76,Uber,E-Commerce,Singapore,Enterprise,Oct,2026,714,1.6,AI Automation,3.0,80.8,ML Engineer,7.6,5.7,7.6,Stable
T77,Netflix,FinTech,USA,Startup,Jul,2026,2869,9.8,Cost Cutting,10.0,79.6,Frontend Developer,17.3,7.0,6.6,Stable
T78,Amazon,Cybersecurity,Singapore,Mid-size,Nov,2026,957,0.9,AI Automation,4.6,88.7,Cloud Engineer,10.9,4.2,6.5,Bull Market
T79,Stripe,Gaming,USA,Enterprise,Nov,2025,3033,17.5,AI Automation,3.8,18.8,Frontend Developer,25.3,4.2,7.4,Recession
T80,Anthropic,Social Media,UK,Startup,Feb,2025,5521,11.2,Market Slowdown,10.0,28.5,DevOps Engineer,12.5,9.8,5.0,Stable
T81,SAP,Social Media,India,Big Tech,Oct,2026,2306,8.3,Restructuring,3.9,84.2,Cloud Engineer,7.7,3.0,6.0,Bull Market
T82,SAP,E-Commerce,Singapore,Enterprise,Feb,2025,4169,11.6,Restructuring,8.3,17.3,Product Manager,2.8,8.3,5.5,Stable
T83,Airbnb,Gaming,Germany,Big Tech,Aug,2025,4235,16.8,Cost Cutting,8.9,30.8,Software Engineer,-13.7,8.3,3.1,Stable
T84,OpenAI,Cloud,UK,Enterprise,Oct,2026,3211,16.0,Market Slowdown,10.0,64.2,Cloud Engineer,25.4,8.7,6.6,Stable
T85,Palantir,AI,Canada,Mid-size,Dec,2025,1704,3.3,Restructuring,10.0,70.2,ML Engineer,13.6,8.8,6.4,Bull Market
T86,Palantir,Gaming,India,Big Tech,Aug,2024,4741,37.1,AI Automation,10.0,10.5,DevOps Engineer,16.9,4.0,4.3,Recession
T87,Adobe,Cloud,Germany,Mid-size,Aug,2026,4870,3.2,Overhiring Correction,3.4,37.3,Cybersecurity Analyst,4.2,5.9,5.6,Stable
T88,Intel,E-Commerce,Singapore,Enterprise,May,2025,1140,14.1,Market Slowdown,4.7,13.7,DevOps Engineer,25.6,3.7,7.9,Stable
T89,Airbnb,AI,Singapore,Mid-size,Dec,2026,1006,15.0,Cost Cutting,3.6,85.5,ML Engineer,10.5,1.2,7.1,Stable
T90,Uber,Cloud,Singapore,Big Tech,Feb,2024,3255,12.1,Market Slowdown,10.0,85.5,Cloud Engineer,-0.6,8.0,4.9,Stable
T91,Airbnb,FinTech,India,Enterprise,May,2024,1980,2.0,AI Automation,10.0,53.5,ML Engineer,-9.9,9.0,5.3,Bull Market
T92,Palantir,FinTech,Singapore,Mid-size,Feb,2024,18343,17.4,Overhiring Correction,4.0,48.5,DevOps Engineer,7.3,1.2,6.4,Recession
T93,Adobe,E-Commerce,Germany,Big Tech,Jan,2025,5209,6.5,Restructuring,4.7,10.9,ML Engineer,7.2,1.6,7.3,Stable
T94,Microsoft,Gaming,USA,Big Tech,Oct,2026,4297,16.4,AI Automation,10.0,55.7,Data Scientist,-6.5,8.7,5.0,Stable
T95,Apple,Cloud,Canada,Enterprise,Feb,2026,2272,0.9,Restructuring,1.0,35.8,Product Manager,20.6,1.7,9.1,Bull Market
T96,Databricks,Cybersecurity,Canada,Mid-size,Aug,2025,7082,36.7,Market Slowdown,10.0,66.7,Frontend Developer,7.8,9.6,2.8,Recession
T97,Stripe,E-Commerce,UK,Startup,Apr,2026,1899,27.1,Cost Cutting,10.0,68.5,Data Scientist,-12.0,9.1,2.6,Recession
T98,Spotify,Social Media,USA,Mid-size,Sep,2024,684,1.8,Cost Cutting,10.0,11.7,ML Engineer,12.7,9.8,6.3,Bull Market
T99,Google,E-Commerce,Germany,Big Tech,Apr,2025,6178,4.5,Market Slowdown,4.8,69.4,Software Engineer,12.5,3.0,7.5,Stable
T100,SAP,AI,Singapore,Mid-size,Jul,2024,6663,1.5,Overhiring Correction,7.5,32.7,ML Engineer,15.2,6.2,7.3,Stable
T101,Airbnb,Social Media,India,Enterprise,Jan,2024,477,1.8,Market Slowdown,5.9,49.4,Data Scientist,7.2,4.6,7.2,Bull Market
T102,Databricks,Social Media,Canada,Enterprise,Aug,2026,3038,6.3,Market Slowdown,2.7,71.9,Data Scientist,-0.5,2.5,6.6,Stable
T103,NVIDIA,FinTech,Canada,Big Tech,Oct,2024,5997,12.4,Restructuring,8.2,23.4,Data Scientist,17.4,5.7,6.9,Stable
T104,Salesforce,Cybersecurity,UK,Startup,Nov,2026,2203,8.6,Overhiring Correction,8.5,14.6,Product Manager,-14.7,8.3,5.7,Bull Market
T105,Google,Gaming,Singapore,Enterprise,Mar,2025,10200,26.7,Overhiring Correction,8.7,10.4,Software Engineer,12.5,3.8,5.0,Recession
T106,SAP,FinTech,India,Big Tech,Feb,2025,13115,12.0,Market Slowdown,8.7,63.9,DevOps Engineer,11.7,7.0,5.4,Recession
T107,Oracle,FinTech,UK,Startup,Jul,2026,2358,9.8,Restructuring,4.7,79.2,Cybersecurity Analyst,26.1,7.2,8.2,Bull Market
T108,Adobe,Social Media,Germany,Startup,Jun,2025,1427,12.1,Market Slowdown,10.0,88.2,Data Scientist,18.5,8.4,6.8,Stable
T109,Microsoft,Gaming,Germany,Startup,Jul,2024,2667,29.4,Cost Cutting,10.0,79.5,DevOps Engineer,2.1,4.6,4.2,Recession
T110,Anthropic,FinTech,Canada,Big Tech,Jan,2024,13178,20.4,Market Slowdown,8.1,15.9,DevOps Engineer,7.3,6.1,5.9,Recession
T111,Palantir,Cloud,UK,Big Tech,Feb,2024,11693,37.3,Overhiring Correction,9.5,56.4,DevOps Engineer,13.9,5.7,4.5,Recession
T112,Airbnb,Social Media,India,Enterprise,Sep,2025,1406,21.8,AI Automation,6.9,84.2,Software Engineer,-12.0,1.2,4.1,Recession
